YIELD_name	plantID	plantName
100_005_250201_001_00584_103_001_1004	T1_S2_KS0427	T1_S2_KS0427
100_005_250201_001_00585_103_001_1004	ED1_p2b1H4	ED1_p2b1H4
100_005_250201_001_00586_103_001_1004	T1_S2_KS0429	T1_S2_KS0429
100_005_250201_001_00587_103_001_1004	T1_S3_KS0430	T1_S3_KS0430
100_005_250201_001_00588_103_001_1004	T1_S2_KS0431	T1_S2_KS0431
100_005_250201_001_00589_103_001_1004	T1_S2_KS0432	T1_S2_KS0432
100_005_250201_001_00590_103_001_1004	T1_S2_KS0433	T1_S2_KS0433
100_005_250201_001_00591_103_001_1004	T1_S2_KS0434	T1_S2_KS0434
100_005_250201_001_00592_103_001_1004	T1_S2_KS0435	T1_S2_KS0435
100_005_250201_001_00593_103_001_1004	T1_S2_KS0436	T1_S2_KS0436
100_005_250201_001_00594_103_001_1004	T1_S2_KS0437	T1_S2_KS0437
100_005_250201_001_00595_103_001_1004	T1_S3_KS0438	T1_S3_KS0438
100_005_250201_001_00596_103_001_1004	T1_S3_KS0439	T1_S3_KS0439
100_005_250201_001_00597_103_001_1004	T1_S2_KS0440	T1_S2_KS0440
100_005_250201_001_00598_103_001_1004	T1_S2_KS0441	T1_S2_KS0441
100_005_250201_001_00599_103_001_1004	T1_S3_KS0442	T1_S3_KS0442
100_005_250201_001_00600_103_001_1004	T1_S2_KS0443	T1_S2_KS0443
100_005_250201_001_00601_103_001_1004	T1_S2_KS0444	T1_S2_KS0444
100_005_250201_001_00602_103_001_1004	T1_S2_KS0445	T1_S2_KS0445
100_005_250201_001_00603_103_001_1004	T1_S3_KS0446	T1_S3_KS0446
100_005_250201_001_00604_103_001_1004	T1_S2_KS0447	T1_S2_KS0447
100_005_250201_001_00605_103_001_1004	T1_S2_KS0448	T1_S2_KS0448
100_005_250201_001_00606_103_001_1004	T1_S2_KS0449	T1_S2_KS0449
100_005_250201_001_00607_103_001_1004	T1_S2_KS0450	T1_S2_KS0450
100_005_250201_001_00608_103_001_1004	T1_S3_KS0451	T1_S3_KS0451
100_005_250201_001_00609_103_001_1004	T1_S2_KS0452	T1_S2_KS0452
100_005_250201_001_00610_103_001_1004	T1_S3_KS0453	T1_S3_KS0453
100_005_250201_001_00611_103_001_1004	T1_S3_KS0454	T1_S3_KS0454
100_005_250201_001_00612_103_001_1004	T1_S2_KS0455	T1_S2_KS0455
100_005_250201_001_00613_103_001_1004	T1_S2_KS0456	T1_S2_KS0456
100_005_250201_001_00614_103_001_1004	T1_S3_KS0457	T1_S3_KS0457
100_005_250201_001_00615_103_001_1004	T1_S3_KS0458	T1_S3_KS0458
100_005_250201_001_00616_103_001_1004	T1_S2_KS0459	T1_S2_KS0459
100_005_250201_001_00617_103_001_1004	T1_S3_KS0460	T1_S3_KS0460
100_005_250201_001_00618_103_001_1004	EB_p2b1A9	EB_p2b1A9
